TOKEN	TYPE	COUNT	RATIO	FORMAT	CASE	LENGTH	INDEXES
premiações	premiacoes	1	0.0025974	W	L	10	267
É	e	1	0.0025974	W	S	1	119
Doce	doce	2	0.00519481	W	S	4	298,310
pela	pela	1	0.0025974	W	L	4	89
Atualizado	atualizado	1	0.0025974	W	S	10	3
ao	ao	1	0.0025974	W	L	2	285
cultural	cultural	1	0.0025974	W	L	8	220
sexta-feira	sexta-feira	1	0.0025974	W	L	11	80
desta	desta	1	0.0025974	W	L	5	79
uma	uma	1	0.0025974	W	L	3	150
Festival	festival	2	0.00519481	W	S	8	72,213
Todos	todos	1	0.0025974	W	S	5	263
Prato	prato	2	0.00519481	W	S	5	279,309
Brasileiro	brasileiro	1	0.0025974	W	S	10	229
muito	muito	1	0.0025974	W	L	5	116
Empresas	empresas	1	0.0025974	W	S	8	236
Médio	medio	2	0.00519481	W	S	5	350,365
Gomes	gomes	1	0.0025974	W	S	5	323
–		1	0.0025974	P	NA	1	208
roedor	roedor	1	0.0025974	W	L	6	31
—		2	0.00519481	P	NA	1	12,203
Borges	borges	1	0.0025974	W	S	6	356
Manjar	manjar	1	0.0025974	W	S	6	314
em	em	3	0.00779221	W	L	2	94,189,268
Barros	barros	3	0.00779221	W	S	6	48,143,198
por	por	2	0.00519481	W	L	3	275,337
vários	varios	1	0.0025974	W	L	6	252
cidade	cidade	1	0.0025974	W	L	6	340
11h33	11h33	1	0.0025974	NA	NA	5	2
Raquel	raquel	1	0.0025974	W	S	6	381
Ricardo	ricardo	2	0.00519481	W	S	7	15,206
molho	molho	1	0.0025974	W	L	5	286
receberam	receberam	1	0.0025974	W	L	9	266
calendário	calendario	1	0.0025974	W	L	10	219
à	a	2	0.00519481	W	L	1	108,257
“		1	0.0025974	P	NA	1	164
”		2	0.00519481	P	NA	1	139,192
melhores	melhores	1	0.0025974	W	L	8	105
fruto	fruto	3	0.00779221	W	L	5	41,111,333
Curta-metragem	curta-metragem	1	0.0025974	W	S	14	369
feliz	feliz	1	0.0025974	W	L	5	117
concurso	concurso	1	0.0025974	W	L	8	29
gastronômica	gastronomica	1	0.0025974	W	L	12	243
10	10	1	0.0025974	N	NA	2	190
Estou	estou	1	0.0025974	W	S	5	115
com	com	7	0.0181818	W	L	3	96,281,299,311,317,344,346
Serviço	servico	1	0.0025974	W	S	7	228
tantos	tantos	1	0.0025974	W	L	6	161
deu	deu	1	0.0025974	W	L	3	130
Rodrigues	rodrigues	1	0.0025974	W	S	9	49
Veja	veja	1	0.0025974	W	S	4	272
vez	vez	2	0.00519481	W	L	3	122,128
segunda	segunda	1	0.0025974	W	L	7	121
é	e	2	0.00519481	W	L	1	87,168
"	"	1	0.0025974	P	NA	1	114
dois	dois	1	0.0025974	W	L	4	60
mil	mil	1	0.0025974	W	L	3	67
faturaram	faturaram	1	0.0025974	W	L	9	61
Pequiche	pequiche	1	0.0025974	W	S	8	302
Micro	micro	1	0.0025974	W	S	5	233
para	para	1	0.0025974	W	L	4	183
(	(	2	0.00519481	P	NA	1	81,237
)	)	2	0.00519481	P	NA	1	83,239
pequis	pequis	2	0.00519481	W	L	6	11,162
Hadassa	hadassa	1	0.0025974	W	S	7	380
venceu	venceu	1	0.0025974	W	L	6	199
jovens	jovens	1	0.0025974	W	L	6	338
conquistou	conquistou	1	0.0025974	W	L	10	54
,	,	8	0.0207792	P	NA	1	46,132,140,175,178,193,250,360
-	-	5	0.012987	W	NA	1	289,303,321,354,379
.	.	14	0.0363636	P	NA	1	42,58,68,84,112,118,144,163,172,195,240,261,270,341
/	/	1	0.0025974	P	NA	1	17
